name,name_en,ward,address,gluten_free_items,phone,source_url,image_url,notes,date_added
チャヤ ナチュラル&ワイルドテーブル 日比谷シャンテ店,CHAYA Natural & Wild Table Hibiya Chanter,千代田区,東京都千代田区有楽町1-2-2 日比谷シャンテ B2F,グルテンフリー仕様のベジハンバーグプレート,,https://fruoats.jp/blog/2023/11/03/ginza-glutenfree-cafe/,,マクロビオティックのカフェ／レストラン。化学調味料・合成着色料・人工甘味料不使用、国産有機玄米使用。完全グルテンフリー店ではなく一部メニューがグルテンフリー対応。クロスコンタミネーションの明記はなく要確認。営業（月〜日・祝）11:00〜22:00（LO21:00）。,2026-06-24
FANCL BROWN RICE MEALS（ファンケル ブラウン ライス ミイルズ）,FANCL BROWN RICE MEALS,中央区,東京都中央区銀座5-8-16 ファンケル銀座スクエア B1F,BRM自家製玄米パスタ（生玄米麺）; 玄米「金のいぶき」リゾット; 大山鶏のロースト; ガーデンサラダ; 玄米ブレッド（グルテンフリー・テイクアウト可）; ドルチェ（グルテンフリースイーツ）,03-3289-0721,https://fancl-restaurant.jp/brown-rice-meals,,全メニューが小麦粉不使用のグルテンフリー。化粧品・健康食品メーカーのファンケル直営の玄米イタリアン。生パスタは玄米粉で毎日店内で手作り。大豆ミートを使ったヴィーガンメニューもあり。アレルギー対応は予約時に相談を推奨。完全グルテンフリーを掲げているが、セリアック向けの専用調理・コンタミネーション対策の明記は確認できなかった。,2026-06-24
AIN SOPH. GINZA（アインソフ ギンザ）,AIN SOPH. GINZA,中央区,東京都中央区銀座4-12-1,天上のヴィーガンパンケーキ（グルテンフリー仕様）; 季節限定パンケーキ（宇治抹茶のパンケーキ、丸ごとバナナのチョコパンケーキ等／ヴィーガン＆グルテンフリー）; ヴィーガンプリン; フルーツプリンパフェ,,https://www.ain-soph.jp/news/categories/ginza,,ヴィーガンレストラン。全メニューがグルテンフリーではなく、グルテンフリーの品目が複数ある形。パンケーキやプリンなど一部メニューがヴィーガン＆グルテンフリー。クッキー缶は乳・卵・小麦などを持ち込まない専用工場で製造とされるが、店内料理についてのコンタミネーション対策の詳細は確認できなかった。東銀座駅3番出口徒歩1分。,2026-06-24
2foods 銀座ロフト店（トゥーフーズ）,2foods Ginza Loft,中央区,東京都中央区銀座2-4-6 銀座ベルビア館（銀座ロフト）1F,まるでバターチキンカレー（グルテンフリー、玄米＋カリフラワーのライス添え）; こく旨オリジナルカレー（グルテンフリー）; 生食感の濃厚ガトーショコラ（白砂糖不使用・グルテンフリー）; レアチーズケーキ（グルテンフリー）,03-3528-6811,https://r.gnavi.co.jp/d8a5uvv20000/menu1/,,プラントベース（ヴィーガン）のヘルシージャンクフード店。全メニューが動物性不使用だが、グルテンフリーは一部メニューのみ（バーガーのバンズは国産小麦・全粒粉を使用しグルテンフリーではない）。ガトーショコラは乳使用の別製品と同じラインで製造とされ、コンタミネーションの注意あり。,2026-06-24
ローズベーカリー 銀座,Rose Bakery Ginza,中央区,東京都中央区銀座6-9-5 ギンザコマツ西館（ドーバー ストリート マーケット ギンザ）7F,グルテンフリーのチーズケーキ; グルテンフリーケーキ（過去に期間限定で小麦粉不使用ケーキを販売）,03-6274-6211,https://www.royal-holdings.co.jp/release/backnumber/2018/3682.php,,パリ発のベーカリー・カフェ。グルテンフリー専門店ではなく、グルテンフリーのケーキ・チーズケーキなど一部メニューを提供。野菜中心のシンプルな料理が中心で、ヴィーガン・ベジタリアン対応も可能。小麦を扱う厨房のためコンタミネーションのリスクがあり、セリアック対応の明記は確認できなかった。,2026-06-24
銀座つぼやきいも,Ginza Tsubo Yakiimo,中央区,東京都中央区銀座7-6-4 GINZA7ビル 1F,つぼやきいも（壺焼き芋、まるごと/はんぶん/ちいさいの）; アイスやきいも（冷凍焼き芋）; つぼ芋ラテ（焼き芋＋牛乳）,03-6263-8773,https://ginza.keizai.biz/headline/3541/,,焼き芋専門店。トッピングや加工をせず、さつまいもと炭火のみで焼く自然派の焼き芋で、原材料的に自然とグルテンフリー（つぼ芋ラテは牛乳使用）。グルテンフリーを標榜する専門店ではないが、小麦粉を使う商品を扱わないため小麦コンタミネーションのリスクは低い。日曜定休。,2026-06-24
AIN SOPH. Journey 新宿三丁目店,AIN SOPH. Journey SHINJUKU,新宿区,東京都新宿区新宿3-8-9 新宿Qビル 1F,グルテンフリージェノベーゼパスタ; グルテンフリーパスタ（S/L）; ベジミートの唐揚げ（グルテンフリー）; グリーンカレー; きのこのハヤシライス,03-5925-8908,https://www.tablecheck.com/ja/ain-soph-journey,,完全菜食（ヴィーガン）のカフェレストランで、グルテンフリー専門店ではない。メニュー上のGFマーク付き品目のみがグルテンフリーで、店内では小麦含有メニューも扱うためコンタミネーションのリスクあり。セリアックの方は注文時に要確認。,2026-06-24
marbre vegan 新宿御苑本店,marbre vegan,新宿区,東京都新宿区新宿2-1-5 パークサイドスクエア 1F,マルブルストロベリー（いちごショートケーキ／土日限定）; ベイクドチーズケーキ; ガトーショコラ; グルテンフリーマロンプリン; アニマルファミリークッキー,,https://dessa-allergy.com/kaori20241224/,,全品ヴィーガン（乳・卵不使用）のケーキ専門店。ソイフリー・グルテンフリー・アルコールフリー・ナッツフリーにも対応。ただし全メニューがグルテンフリーではなく、たまごサンドなど小麦使用品もあるためメニューのアレルゲン表示を要確認。完全なセリアック対応店ではなく、コンタミは自己判断。,2026-06-24
CONTAINER Cafe&Bar,CONTAINER Cafe&Bar,新宿区,東京都新宿区新宿3-8-5 中川ビル 3F,日替わり・季節限定のグルテンフリーケーキ; 抹茶ブラジルプヂン（プジン）; バスクチーズケーキ; 抹茶プリン,03-6457-7526,http://container-web.net/,,「心と体にやさしさを」をテーマにグルテンフリーのケーキとオーガニックドリンクを提供する喫茶店。スイーツはグルテンフリー・きび砂糖使用。グルテンフリー専門店ではなく食事メニューもあるため、セリアックの方はコンタミに注意。営業時間・定休日は変動するためSNSで要確認。,2026-06-24
Healthy Dining ALMA grande 新宿東口,Healthy Dining ALMA grande,新宿区,東京都新宿区新宿3-14-23 マヤビル 地下1階,ALMA grande特製タコライス; 腸活プレート; パワープレート; グルテンフリー美肌豆乳カルボナーラ; フィッシュ&チップス（グルテンフリー米油使用）; 塩こうじから揚げ,03-5925-8204,https://glutenfree.empacede.co.jp/cafe-gf-tokyo/,,昼はグルテンフリーカフェ、夜はダイニングバー。一部メニューがグルテンフリー（ガイドの評価★★★）で、全メニューGFではない。サンドは全粒粉パンを使用するなど小麦使用品もあるため、セリアックの方は注文時に要確認。コンタミネーションのリスクあり。,2026-06-24
Mr. FARMER 新宿ミロード店,Mr. FARMER Shinjuku Mylord,新宿区,東京都新宿区西新宿1-1-3 小田急新宿ミロード モザイク通り,グルテンフリーメニュー（メニュー上のGF表示品目／サラダ・野菜料理中心）,03-3349-5731,https://un-gluten.com/glutenfree-restaurants-shinjuku/,,野菜中心のおしゃれなレストラン。グルテンフリー対応メニューがあるが専門店ではなく、具体的なGF料理名は情報源で明示されていないため空欄を避け概略のみ記載。小麦使用メニューも提供するためコンタミに注意。価格は高め。,2026-06-24
ル ブルターニュ 神楽坂店,Le Bretagne Kagurazaka,新宿区,東京都新宿区神楽坂4-2,そば粉100%のガレット（各種）,03-3235-3001,https://corporate.yourkins.com/kins_labo/1767/,,1996年開業の日本初のクレープリー。グルテンフリー専門店ではないが、そば粉100%のガレットがグルテンフリーの選択肢として人気。クレープ（小麦）も同店で扱うためコンタミネーションのリスクあり。そばアレルギーの方は不可。,2026-06-24
そらのいろ NIPPON,Soranoiro NIPPON,千代田区,〒100-0005 東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内,グルテンフリー塩らーめん（島根県雲南市・宮内舎の玄米麺使用、タレ・油・トッピングにも小麦不使用）; ヴィーガン水餃子（皮に米粉使用、グルテンフリー対応可）,,https://soranoiro-vege.com/store-menu/soranoiro-nippon/,,グルテンフリー専門店ではなく、店内では小麦麺も使用。一部メニューのみグルテンフリー。注文時にホールスタッフが小麦アレルギーの有無を確認し、希望すれば茹で釜を別にして対応してくれるが、公式に『コンタミネーションの可能性はございます』と明記されており、セリアック対応とは断言できない。,2026-06-24
Gluten Free T's Kitchen 上野広小路店,Gluten Free T's Kitchen Ueno Hirokoji,千代田区,〒101-0021 東京都千代田区外神田5-3-3,オレンジチキン; 米粉のチキン餃子; ヴィーガンラーメン; アメリカンブレックファースト（パンケーキ・サラダ・ソーセージ・スクランブルエッグ）; フォー; おにぎり,03-5826-4548,https://glutenfree.co.jp/,,小麦・大麦・ライ麦を一切使わないグルテンフリー専門店（アジア初のグルテンフリー認証をうたう）。化学調味料不使用。可能な限りヴィーガン・ベジタリアン・他アレルギーにも対応。ただし公式に『材料によっては同じ工場内で小麦を取り扱っているものもあり』『限られたスペースでの調理のため全アレルギー保証はできない』と明記。モーニング7:00-9:30、ランチ12:00-16:00、ディナー17:00-22:00、水曜のみランチ・ディナー休み。,2026-06-24
CHAYA Macrobiotics（チャヤ ナチュラル&ワイルドテーブル）日比谷シャンテ店,CHAYA Macrobiotics Hibiya Chanter,千代田区,東京都千代田区有楽町1-2-2 日比谷シャンテ B2F,グルテンフリー仕様のベジハンバーグプレート,,https://fruoats.jp/blog/2023/11/03/ginza-glutenfree-cafe/,,国産有機玄米を使い化学調味料・合成着色料・人工甘味料を使わないマクロビオティックのカフェ。グルテンフリー専門店ではなく、グルテンフリー対応メニュー（ベジハンバーグプレートなど）がある。クロスコンタミネーションに関する情報は未確認。営業時間11:00-22:00（L.O.21:00）。,2026-06-24
2foods 銀座ロフト店（トゥーフーズ）,2foods Ginza Loft,中央区,東京都中央区銀座2-4-6 銀座ベルビア館 1階,まるでバターチキンカレー; こく旨オリジナルカレー; レアチーズケーキ; 生食感の濃厚ガトーショコラ; プラントベースショコラサンデー,03-3528-6811,https://r.gnavi.co.jp/d8a5uvv20000/menu1/,,全メニュー動物性不使用のヴィーガン（プラントベース）カフェだが、グルテンフリーは『一部メニューのみ』。バーガーのバンズやドーナツ・クロワッサンは国産小麦・全粒粉使用のためGFではない。ガトーショコラは乳使用製品と同じラインで製造とのコンタミ注記あり。GF商品は甜菜糖使用のスイーツが中心。,2026-06-24
ローズベーカリー 銀座（Rose Bakery）,Rose Bakery Ginza,中央区,東京都中央区銀座6-9-5 ギンザコマツ西館 7F,グルテンフリーのチーズケーキ; グルテンフリーケーキ（小麦粉不使用ケーキ、期間限定で過去販売）,03-5537-5038,https://vegewel.com/ja/restaurant/257,,グルテンフリー専門店ではなく、一部のケーキ・お菓子にグルテンフリー対応がある程度。多くの焼き菓子は小麦使用。過去には期間限定でGFケーキを販売した実績あり（2018年）。同じ厨房で小麦製品を扱うためクロスコンタミの懸念があり、セリアック向けの保証はない。常時GFメニューがあるかは来店時に要確認。,2026-06-24
銀座つぼやきいも,Ginza Tsuboyakiimo,中央区,東京都中央区銀座7-6-4 GINZA7ビル1階,熟成芋（つぼ焼き芋）,03-6263-8773,https://corporate.yourkins.com/kins_labo/1767/,,焼き芋専門店。さつまいもそのものが自然にグルテンフリーで、小麦・砂糖・添加物不使用の自然派おやつとして紹介されている。レストランというより焼き芋のテイクアウト店。明示的な『グルテンフリー認証』店ではないが、提供商品（焼き芋）は本質的に小麦不使用。,2026-06-24
Gluten Free T's Kitchen（グルテンフリー ティーズ キッチン）,Gluten Free T's Kitchen,港区,〒106-0032 東京都港区六本木7-8-5 2階,濃厚やみつきラーメン; ヴィーガンラーメン; 味噌ラーメン; スパイシーテリヤキサンドイッチ; 焼肉ライスプレート; すき焼き; ヴィーガンカレー; カレー; マックアンドチーズパスタ; ポークボロネーゼスパゲッティーニ; 焼きそば; シーフード焼きそば; お好み焼き; 大豆ミートタコライス; 天ぷら; 餃子; 春巻き; チョコレートブラウニー; パンケーキ（ノーマル/ヴィーガン）; フワフワ桜ケーキとアイスクリーム,03-6874-7719,https://glutenfree.co.jp/,,完全グルテンフリー専門店。小麦・大麦・ライ麦を一切使用せず、アジア初のグルテンフリー認証（The Gluten Intolerance Group）を取得。ヴィーガン・ベジタリアン対応あり。ただし公式に注意書きあり：取扱い材料の中には同じ工場内で小麦を扱うものもあり、限られた厨房スペースのため全アレルギーの保証はできないとしている。グルテンフリービールも提供。席数が少ないため予約推奨。,2026-06-24
SINCERE GARDEN CAFE（シンシア・ガーデン カフェ）,Sincere Garden Cafe,港区,〒107-0061 東京都港区北青山3-5-4 青山高野ビル2F,発酵ブッダボウル; 発酵カレー; 発酵玄米とアボカドランチ; リンゴのグルテンフリーパンケーキ; バナナケーキ; ヴィーガン・カヌレ（月・木曜限定）; 米粉の焼菓子各種,03-5775-7375,https://tokyojapan.metro.tokyo.lg.jp/shop/shop-2827/,,発酵をテーマにしたヴィーガン・グルテンフリーのカフェ。販売している焼菓子は国産米粉使用ですべてヴィーガン＆グルテンフリー。1階のサロン突き当りのらせん階段を上がった2階がカフェ。表参道駅から徒歩3〜4分。定休日は毎月1日・水曜。クロスコンタミネーションに関する明記は確認できず、要問い合わせ。,2026-06-24
L for You（エルフォーユー）,L for You,港区,〒107-0062 東京都港区南青山3-9-3 池上ビル1F,美腸プレート（ヴィーガン／ミート選択可）; 大豆ミートとしいたけのプルコギ風炒め; キヌアとビーツとりんごのサラダ; ゴーヤとパプリカのクミンソテー; 雑穀とアボカドのサラダボウル; タコライス; ポーク丼; サンドイッチ; アップルタルト; チョコナッツブラウニー（たまご使用）; 酒粕チーズケーキ; ヴィーガンチーズケーキ; 美腸活弁当ビーガン; 自家製コンブチャ,050-5595-1060,https://www.lforyou.tokyo/store,,「美腸活」をテーマに2017年に南青山でオープンしたカフェ＆グロッサリー。物販商品を含むすべてのメニューがグルテンフリー・白砂糖不使用・無添加。ヴィーガン・アレルギー対応、ハラル対応も可（認証はなし）。AFRODE CLINIC監修。表参道駅から徒歩3〜7分。完全グルテンフリー方針だが厨房のクロスコンタミネーションに関する明記は確認できず。,2026-06-24
米ぷら 浜松町店（こめぷら）,Komepura (Kome Pura),港区,東京都港区海岸1-2-3 汐留芝離宮ビルディング地下1階 浜松町ネオ横丁内,米ぷら定食; 天丼（海老・ナス・レンコン・カボチャなど5種の天ぷら）; 米粉フレーク衣の天ぷら,,https://www.favy.jp/topics/36489,,天ぷら専門店。衣に小麦不使用・米粉100%の「米粉フレーク」を使用し、天つゆや丼たれなどの調味料もグルテンフリー。ハラル認証も取得。シェア型フードホール『浜松町ネオ横丁』内にあり、モバイルオーダー＆キャッシュレス。浜松町駅北口から徒歩約3分、大門駅から徒歩5分。共用の揚げ油・厨房を使うフードホール内のため、重度のセリアック患者はクロスコンタミネーションに注意。営業時間は平日11:00〜15:00、17:00〜22:00。,2026-06-24
Captain Cook Tokyo（キャプテンクック東京）,Captain Cook Tokyo,港区,東京都港区南麻布5-2-37 〒106-0047,自家製グルテンフリーマフィンのエッグベネディクト（ベーコン・アボカド・ポーチドエッグ）; ホットケーキ（ベイクドホットケーキ）; グルテンフリーのパン・トースト; ヴィーガンイングリッシュブレックファースト,03-6277-2308,https://www.captaincook.co.jp/about,,広尾（南麻布）の英国料理専門店。多数のグルテンフリーのパンや料理に加え、ヴィーガン・ベジタリアン向けメニューも提供。一部メニューは小麦（ライ麦パン等）を使用するため、グルテンフリーは限定的（一部GF対応店）。Find Me Gluten Free によれば専用のグルテンフリーメニューは無いとの記載あり。食べログでは閉店表示がある一方、公式サイトおよびYelp（2026年2月時点）では営業中の情報があり、訪問前に営業状況の確認を推奨。,2026-06-24
WE ARE THE FARM 麻布十番（ウィーアーザファーム）,WE ARE THE FARM Azabu Juban,港区,東京都港区麻布十番（南北線麻布十番駅4番出口徒歩約7分）,季節の野菜ランチビュッフェ（15種のサラダ＆デリ）; オーガニックケールのワイルドシーザーサラダ; 農家のケール火鍋; 鉄板焼きバーニャカウダ; 63℃低温調理の地鶏鉄板焼き,03-6447-5510,https://wearethefarm-azabu.com/en_us/,,千葉県佐倉市の自社農園の固定種・無農薬無化学肥料野菜を使った野菜バル／イタリアン。複数のまとめ記事でグルテンフリー対応店として紹介され、野菜中心のメニューが多い。ただし公式サイトに明確な「グルテンフリー」表記や専用GFメニューは確認できず、上記の料理がGFか否かは店舗への確認が必要。一部GF対応とみなすのが妥当で、クロスコンタミネーションについての明記もなし。,2026-06-24
AIN SOPH. Journey 新宿店,AIN SOPH. Journey Shinjuku,新宿区,東京都新宿区新宿3-8-9 新宿Qビル 1F,天上のヴィーガンパンケーキ; グルテンフリージェノベーゼパスタ; ボロネーゼ（グルテンフリーパスタ）; ベジミートのからあげ; グルテンフリーキャラメルナッツブラウニー; グリーンカレー（玄米）,050-5591-0352,https://glutenfree-collection.com/ain-soph-journey-shinjuku/,,完全ヴィーガンのカフェレストラン。店全体がグルテンフリー専門ではなく、メニューにグルテンフリー（GF）マークがついた料理を選ぶ方式。看板はパンケーキとパスタ。セリアック向けの完全対応店ではなく、コンタミネーションの可能性は確認できなかったため、敏感な方は来店時にスタッフへ要確認。新宿三丁目駅C5出口すぐ。,2026-06-24
Healthy Dining ALMA grande 新宿東口店,Healthy Dining ALMA grande (旧店名 KINEEL),新宿区,東京都新宿区新宿3-14-23 マヤビル B1F,ALMA grande特製タコライス（五穀米）; グルテンフリー美肌豆乳カルボナーラ; トマトとモッツァレラパスタ（グルテンフリー）; グルテンフリー担々麺（米粉麺）; 塩こうじから揚げ; フィッシュ&チップス（米油・小麦粉不使用）; 腸活プレート; パワープレート; タコス（コーントルティーヤ）,,https://www.isize.com/hotpepper/Z011/J003648409/,,腸活・健康志向のダイニングバー。複数のグルテンフリー料理を提供するが、サンドは全粒粉パンを使うなど小麦メニューも併存しており完全GF店ではない。昼はグルテンフリーカフェ、夜は貸切・宴会利用。新宿伊勢丹徒歩1分。コンタミは要確認。,2026-06-24
HealthyTOKYO CBD ショップ＆カフェ 新宿マルイ本館,HealthyTOKYO CBD Shop & Cafe Shinjuku Marui Honkan,新宿区,〒160-0022 東京都新宿区新宿3-30-13 新宿マルイ本館 B1F,ヴィーガン・ラザニア（米粉ラザニアシート・大豆ミート）; ヴィーガンキッシュ; CBDモンブランケーキ; 各種マフィン; CBDクッキー; エナジーバー,050-5526-5593,https://healthytokyo.com/ja/locations/healthytokyo-cbd-shop-cafe-shinjuku-marui-honkan/,,100%ヴィーガンのCBDカフェ。フードはすべてヴィーガンで、新宿店メニューのほとんどがグルテンフリー（公式表現は「ほとんど」のため全GFではない）。名物ラザニアは米粉使用でヴィーガン＆グルテンフリー。朝8時オープン。セリアック向けの完全対応表記は確認できず、敏感な方は要確認。,2026-06-24
marbre vegan 新宿御苑本店,marbre vegan,新宿区,東京都新宿区新宿2-1-5 パークサイドスクェア 1F,マロンケーキ; いちごショートケーキ; プレミアムプリン; ティラミス; レモンロールケーキ; グルテンフリーマロンプリン,,https://fruoats.jp/blog/2023/10/26/shinjuku-glutenfree-cafe/,,北海道発の全メニュー乳・卵不使用ヴィーガンケーキ店。グルテンフリーのスイーツが豊富（半分以上がGFとの情報）だが全品GFではなく、グルテンフリー表記のある品を選ぶ必要あり。完全なアレルギー対応店ではなく、コンタミは自己判断との注意書きあり。新宿御苑前駅徒歩1〜2分。,2026-06-24
Pro Labo CAFÉ,Pro Labo CAFE,新宿区,東京都新宿区新宿3-1-22 ADビル 1F,本日のペペロンチーノ,,https://fruoats.jp/blog/2023/10/26/shinjuku-glutenfree-cafe/,,腸にやさしい食材を使ったギルトフリーのカフェ＆レストラン。白砂糖・食品添加物不使用。各メニューにアレルゲン表示があり、グルテンフリーメニューが分かりやすい。完全GF店ではなく一部にGF対応あり。新宿三丁目駅徒歩1分・新宿駅徒歩5分。,2026-06-24
